0109.txt,曲咭潯陽﨤達滇和泓罘変|弓彈翠懌去多術拉𢬢朏生,Khúc hát Tâm dương gặp gỡ chan hòa người bốn biển|Cung đàn Thúy dịch đi vể dan díu nợ ba sinh,
0109.txt,春拱悧歌璘李湄篭曼漠膝,Xuân cũng chiều người sân lý mưa lồng man mác bóng,
0109.txt,緣妝買牢底沒戈咳群撝吻赵,Duyên nợ mãi sao đây một giấc hay còn vơ vẩn bướm,
0109.txt,媽固麩如蝇固鷡嫣空麩如璯差空耦|琨固吒如茄固駔琨空吒如壞蝳刞雕,Gái có chồng như rồng có vây gái không chồng như cối xay không ngõng:|Con có cha như nhà có nóc con không cha như nồng nọc đứt đuôi.,
0109.txt,埃蓮守諒共英工幹仪电払卓诘骳|嗯吼娘蘇朱姊儂挼尼丐𠥹溥坡洳,Ai lên thú Lạng cùng anh công cán ấy dã tràng xe cát bể|Nhắn nhủ nàng Tô cho chi nông nỗi này cái cò lội bờ ao.,
0109.txt,逾師骭娓景肢嗜來逢娓靳師,Trên sư dưới vãi ngoảnh lưng giở lại trên vãi dưới sư.,
0109.txt,蜆逗梗梅爬狂橘|取術塘擺超伶椎,Kiến đậu cành Mơ bò cuống quýt|Ngựa về đường Bưởi chạy lanh chanh,
0114.txt,節元旦寔節臟魵炟黄餅蒸因椰餘荇迻口沒醞飞盞情喪,Tết Nguyên đán thực tết gió cá rán vàng bánh chưng nhân dừa dừa hành đua khâu một rượu ba chén tình tang.,(Giai thoại Nguyễn Bá Nhạ đội Hà Duy Phiên)
0114.txt,度朱得世恒如食|招袒役岙嶵窖手西,Đo cho người thế hằng như thực|Chuốc lấy việc trời bởi khéo tay,(Triudng doi tap sao VHv. 2010)
0114.txt,奢吏褪之蒙者特|勉嗔陽鑕貯朱駱,Xa lại lấy chỉ mong giả được|Miễn xin dương chất trữ cho dầy,(nhiu trên)
0114.txt,喭浽筆硯麻劍馬|故翟金紙拱桑蓬,Ngán nỗi bút nghiên mà kiếm mã|Cớ sao kim chỉ cũng tang bồng.,(Trưởng uan đồi liền VHu. 226)
0114.txt,姑蓮袙橛花蓮等於湖蓮徐俘君子|舅桂袙袄翹桂蹠蓮宮桂閉姊姮娥,Cô Sen mặc yếm hoa sen đứng ở hồ sen chờ người quân tử|Cậu Quế mặc áo cánh quế trèo lên cung quế bế chị hằng nga,
0114.txt,固祖固宗宗祖祖宗宗祖齷|群礙群渃渃嶯嶯渃渃嶯茄,Có tổ có tông tông tổ tổ tông tông tổ cũ|Còn non còn nước nước non non nước nước non nhà,(câu đối truyền miệng ở nhiều địa phương)
0053.txt,閲是堂,Duyệt thị đường|Nhà diễn xuất,(Thành Nội Huế)
0053.txt,主處聖廟,Chúa xứ thánh miếu|Thánh miếu Chúa xứ,(Núi Sam Châu Đốc An Giang)
0053.txt,岳降精英,Nhạc giáng tinh anh|Thái sơn giáng tinh anh,(Đền Và - Hà Tây)
0053.txt,生而爲英,Sinh nhi vi anh|Sống là tinh anh,(Đên Và - Hà Tây)
0053.txt,南天聖祖,Nam thiên Thánh Tổ|Thánh Tổ trời Nam,Đền Và - Hà Tây)
0053.txt,南越肇祖,Nam Viêt triệu Tổ|Vị Tổ đầu tiên nước Nam Việt,(Đền Hùng . Phú Thọ)
0053.txt,雄王陵,Hùng Vương lãng|Lăng vua Hùng,(Đền Hùng - Phú Thọ)
0053.txt,高山景行,Cao sơn cảnh hành|Núi cao đạo lớn,(Đền Hùng-Phú Thọ)
0053.txt,肇基王跡,Triều cơ vương tích|Di tích đức vua đầu tiên,(Đền Hùng - Phú Thọ)
0182.txt,玉井年新濁泉舟聚|香山春色生涯日佳,Ngoc tinh niên tân Troc tuyên chu tụ|Hương Sơn xuân sắc sinh nhai nhạt giai.,(Gieng ngoc năm mói suoi Duc thuyen tuHương Sơn xuân sắc cuộc sống khá lên.)
0182.txt,君且儘此觴莫遣春光隨水逝|余亦能高泳恐惊星斗落江來,Quân thả tận thử thương mặc khiển xuân quang tuy thủy tạ|Du diệc nâng cao vịnh khủng kinh tinh dâu lạc giang lai,(Bác hãy cạn chén này chớ để ảnh xuân chìm theo nướcTôi cũng xin bợi vôi sợ rằng sao sáng rớt ngay sông.)
0182.txt,迎春正啓鵝山席|愛客偏浮缽場杯,Nghênh xuân chính khai Nga Sơn tịch|Ái khách thiên phù Bát Tràng bôi.,(Đón xuân trải rộng chiếu Nga SơnMến khách rót đẩy chén Bát Tràng)
0182.txt,詩句亂隨春草發|酒腸俱逐夏郁寬,Thi cú loan tùy xuân thảo phát|Tựu truờng câu trục hạ uất khoan,(Câu thd tùy hîng theo xuân thâoChén rượu tiêu sầu uất hạ đây.)
0182.txt,春風漫卷蘭花白|細雨能斟竹葉青,Xuân phong man quyển lan hoa bạch|Tê vũ năng châm trúc diệp thanh.,(Gió xuân cuôn nhę hoa lan trängMưa nhỏ rơi vào lá truc xanh)
0182.txt,春詩春畫猶春面|醉筆醉情亦醉心,Xuân thi xuân hoa do xuân diên|Túy bút túy tinh diêc túy tâm.,(Thơ xuân tranh xuân mặt xuân đến:But say tınh say long cung say)
0122.txt,君子拆输揢擛𨃴|丈夫慼志改樿嗷,Quân tự nấu mình rung nhịp gót|Trương phu thích chi gay đan môi.,(Giai thoai Nguyễn Khuyến ra Bùi Viên đội)
0122.txt,蕡噫世問只固花梅署别個|避薨天地禍罵昆狂固懩巉,Thơm nức thế gian chỉ có hoa mai là biết tớ|Thối hoang thiên địa họa là con chó có ưa người.,(Tri huyện Duyên Hà là Vũ Quí Mão nhân kỷ niệm ngày sinh ra vế tháchđôi. Có ngitöi da dôi lai ngay.)
0122.txt,翁縣沿河啊|徒晏探歷動動,Miêng ông huyên Duyên Hà hà|Do bà già lich động dộng,(Tri huyện Mào doc vê' ra roi bao anh hâu dôi lai)
0122.txt,得价碎辥輪鮕底貼同吝丞貼狂欣插吏|侧楨姑齕洏錢捐錢固魯啲貗别換拱成官,Được giá tôi bán luôn của đe của đồng lần thừa của chó ăn hơn xếp lại|Góm trinh cô lắm nhî tiên quyên tiên có lo dâu trâu biết xô cûng thành quan,(Cụ Nguyễn Văn Đăng huyện Kiến Xương Thái Binh uiết dân ở cửa hàngbán nông cu cùa môt tô chức chính tri bi mât thài Pháp thuôc).
0122.txt,炡侶屎唐西仉徠敬過歌誦生墳官釱吏|噤唗帥村北达敬迁𦄂沒悬尊重具教民,Rực rỡ mé đường tây kẻ lại người qua ca tụng sinh phần quan lớn lại|Vang lung trong thôn Bắc trên kính dưới một lòng tôn trọng cụ trong dân,(Câu đối "mitng" khánh thành sin ћ phần một nhà giàu ở Kiến XươngThái Binh thôi Pháp thuôc)
0122.txt,忠義襮茹﨤難外侵欺上海日六横濱慷慨出洋爐役浩|堅強本性當干危變尼東京奴光復艱勞活動援情民,Trung nghĩa nếp nhà gặp nạn ngoại xâm khi Thượng Hải lúc Hoành Tân khảng khái xuất dượng lo việc nước|Kiên cường vốn tính đương cơn nguy biến này Đông Kinh no Quang Phuc gian lao hoat dông ven tinh dân,(Cụ Khóa Thụ lang Thượng Phúc huyện Kiên Xương Thái Bình uiếng cụNguyên Quang Đoan-con trai cả nhà văn thân yêu nước Nguyên Quang Bích)
0072.txt,忠義昭彰,Trung nghĩa chiêu chương|Lòng trung nghĩa sáng rực,
0072.txt,慈航普渡,Từ hàng phổ độ|Bè từ chở khắp,
0072.txt,萬祿富強,Vạn lộc phú cường|Giàu mạnh muôn lộc,
0072.txt,天地合德,Thiên địa hợp đức|Trời đất hợp đức,
0072.txt,德行千古,Đức hạnh thiên cổ|Đức hạnh thiên cổ,
0072.txt,致坤哉,Trí Khôn tai|đức mẹ cao vời,
0072.txt,恩光永頌,Ân quang vïnh tụng|Ân quang ca tụng mäi,
0072.txt,大德敦化|維新壬子秋恭進,Đại đức đôn hóa|Đức lớn giáo hóa,(Duy Tân Nhâm Tý thu cung tiên)(Cung tiến mùa thu năm Duy Tân Nhâm Tý)
0072.txt,源遠流長,Nguyên viễn lưu trường|Nguồn xa dòng không cạn,
0072.txt,蘭室生香|保大壬午春,Lan thất sinh hương|Bảo Đại Nhâm Ngọ xuân,(Nhà lan sinh hương)(Mùa xuân năm Bảo Đại Nhâm Ngọ)
0091.txt,贔凅少之錢抌沒ド貫空沛義|巡空辰共薄劍酝飞牸噲羅情,Giàu có thiếu chi tiền đem một vài quan không phải nghĩa|Sang không thì cũng bạc kiếm năm ba chữ gọi là tinh,(Nguyễn Khuyến)
0091.txt,闇齋禪娘似渚包数喋拉師𠰺經偈師媊香熔畑挑嗯願仍幪師孟跬,cửa trai thiền nương tựa chửa bao lâu dịp dàng sư dạy kinh kệ sư|rèn hương thắp đèn khêu khẩn nguyện những mong sư mạnh khỏe,
0091.txt,外燐固杜新茄固杜擬悶杜些朱杜詩曰悌杜不其然乎,Ngoài sân có đỗ trong nhà có đỗ ngươi muốn đỗ ta cho đỗ Thi viết đỗ đó bất nhiên kỳ hồ,
0091.txt,逾卒淢手&醜調欣窣|貴乎順眯旛甚多吏派,Đã chót nhúng tay xấu đều hơn tốt lỏi|Qui hồ thuận mắt thắm lắm lại phai nhiều,(Vinh nghe nhuôm)
0091.txt,姑虞姑祿渥|趾蓬趾靬蜂,cô lô cô lốc ốc|Nhẩy lên nhẩy xuống ong,(Trang Quỳnh vịnh Đông cô)
0091.txt,半行悧客客汝茄行茄行空汝客,Bán hàng chiểu khách khách nhớ nhà hàng nhà hàng không nhớ khách,(Nhà hàng.)
0134.txt,册論語缸進篇篇芇空固堡孔子|쑈金剛固糁部部芇空固牸南無,Sách Luận ngữ hai mươi thiên thiên nạo không có lời Khổng Tử:|Kinh Kim citdng có tám bô bô nào không có chữ Nam mô,(Câu đối của một nhà nho làm nhưng giải thích sai lầm về việcLê Quí Đôn thị chỉ đỗ Bảng nhãn)
0134.txt,沒匏岉燶洒泣柬關理成敗耤瀊坦珠江肝秋涞淚|醞悉氣節悶赳西洋悬憂愛固承民布圻閍暝空,Một bầu máu nóng tưới khắp Đông Quan lẽ thành bại khó bàn đất Châu Giang ngàn thu rơi lệ|Đầy lông khí tiết muốn đuổi Tây Dương lòng ưu ái có thừa dân Bố Kỷ muôn thuở không quên.|nhân yêu nước chống Pháp quê làng Phu Lưu huyện Đông Quan nay là xa,(Câu dói của giới Văn thán Thái Binh khóc Pham Huy Quang một danhĐông Sơn huyện Đông Hưng Thái Bình)
0134.txt,權稽村本多龍靈地|腱楗頭榯紹化天,Quyền rơm vạ đá Long Linh địa|Dít thớt đàu chày Thiêu Hóa thiên,(Câu đổi của Xiển Bột bà Lý trưởng theo Truyện cười Xiển BộtNxb. Thanh niên H. 2000)
0134.txt,昧鼎野嗷浸秃噉自占五行正氣|襟如螻鈇如蠛奇肝題路福星,Mặt trăng da môi thâm si dám tư chiếm Ngũ Hanh chính khứ|Gặm như sâu khoét như một ca gan đề Nhất ố phức tinh|con đường làm phuc cho thiên hạ. Câu đối của viên quan trên bị Xiển Bột,(Một viện quan tư đề cao minh mang khí thiêng núi Ngũ Hànhị và chỉ có mộtchila thêm Uào)
0134.txt,官坐外唯醞|罘狌痔殴鉗,Ba quan ngồi uống rượu|Bôn chó dûng chiu cdm,(Câu đôi cùa quan phủ Tho và Xiển Bot)
0152.txt,門庭春暖生光彩|田畝年丰樂太平,Môn đinh xuân noãn sinh quang thái|Điển mẩu niên phong lạc thái binh,(San nha xuan am Sinh mau sacĐồng ruộng bôi thu được thái bình)
0152.txt,水流新韻山流|竹報平安梅報春,Thuỷ lưu tân vạn sơn lưu thủy|Trúc báo binh an nai bao xuân,(Nước khơi vấn mới non khơi biếcTrúc báo binh an mai báo xuân)
0152.txt,壯麗山河多异彩|文明國度遍高風,tráng le sơn hà da di thái|Van minh quoc độ bien cao phong.,(Sac thái non sông bao tráng lêThời phong đất nước thật văn minh.)
0152.txt,清風喜打歡心鼓|綠水暢彈如意琴,Thanh phong hy đả hoan tâm cổ|Lục thủy sướng đàn như ý cầm,(Lông vui trong gióng nhd gió mátY toại đàn hay bởi nước xanh)
0152.txt,江山大好英雄健|天地多情草木春,Giang sơn đại hảo anh hung kiên|Thiên địa đa tinh thảo mộc xuân,(Non sông vân tô't anh hùng manhTrdi dât tinh nhiểu cây cỏ xanh.)
0152.txt,青春有限志無限|歲月無情人有情,Thanh xuan hữu hạn chi vô hạn|Tuê nguyệt vô tinh nhân hữu tĩnh,
0042.txt,道冠古今,Đạo quán cổ kim.|Đạo này đứng đầu xưa nay.,
0042.txt,德參天地,Đức tham thiên đia.|Đức này sáng cùng trời đất.,
0042.txt,集大成,Tâp đại thành|Thầy là bậc tập đại thành,
0042.txt,福斯文,Phúc tư văn.|Làm tốt đẹp nền tư văn.,
0042.txt,古今日月,Cổ kim nhật nguyệt|Đạo lý của Khổng Tử vĩnh hằng như ánh sáng của|mặt trời mặt trăng xưa nay.,
0042.txt,河海標異,Hà hải tiêu dị.|Thầy ra đời đánh dấu su thay đổi lớn lao như sống biển.,
0042.txt,萬 主象,Vạn chủ tượng.|Tượng vạn chủ.,
0042.txt,貝葉傳芳,Bối diệp truyền phương.|Lá bối hương truyền,
0042.txt,和且平,Hoà thả bình.|Hoà lại bình,
0042.txt,聯芳續焰,Liên phương tục diệm|Thơm lâu sáng mãi.,
0042.txt,錫胤祚,Tích dân tô.|Cho nối phúc,
0071.txt,萬古英風,Vạn cổ anh Phong|Gió lành vạn thuở,
0071.txt,萬福攸同,Vạn phúc du đồng|Vạn phúc cùng tới,
0071.txt,善最樂,Thiện tối lạc|Lòng lành thì rất vui,
0071.txt,根深源遠,Căm thâm nguyên viễn|Xa nguồn sâu rễ,
0071.txt,配天其澤|啓定已未秋,Phối thiên kỳ trạch|Ơn trạch lớn sánh với trời,(Khải Đinh Kỷ Mùi thu)(Mùa thu năm Khải Định Kỷ Mùi)
0071.txt,本乎祖|甲戌春,Bản hồ tổ|Gốc từ cụ tổ,(Giáp Tuất xuân)(Mùa xuân năm Giáp Tuât)
0071.txt,積善餘慶,Tích thiện dư khương|Tich thiện phúc lộc có thùa,
0071.txt,天降康,Tự thiên giáng khang|Trời giáng an khang,
0078.txt,娇固道固情春閱課順情廊義諾|1盃爲仁爲義節絆数和意黨悬民.,Sống có đạo có tình Xuân muôn thuở thuận tình làng nghĩa nước|Vui vì nhân vì nghĩa tết bền lâu hòa ý đảnh lòng dân,
0078.txt,祖國余岸春史潭印焊勢氵若|江山関萬節花蕡煩咯恩弘,Tổ quốc mấy ngàn Xuân sử đậm in ngời thế nước|Giang sơn muôn vạn Tết hoa thơm toả ngát ơn Người.,
0078.txt,文化高學術化高互力抱高民智|世紀買千年紀買喝悬掛買思惟,Văn hóa cao hoc thuật hóa cao gắng sức nâng cao dân trí|Thế kỷ mới thiên niên kỷ mới hết lòng đổi mới tư duy.,
0078.txt,干部與钟正廉奮斗犧牲民幸福乙紡㭲芤.|人民妆勾勤儉悁命勞動浩繁榮罵 自𦶤源,Cán bộ giữ chữ chính liêm phấn đấu hy sinh dân hạnh phúc ắt bền gốc rễ|Nhân dân nhớ câu cần kiệm quên mình lao động nước phồn vinh là tự ngọn nguồn,
0078.txt,琨招草賢ょ郎德前人瀾孝義|翁婆卯墨創悬後世攝人慈,Con cháu thảo hiển rạng đức tiền nhân dòng hiếu nghĩa|Ông bà mẫu mực sáng lòng hậu thế nếp nhân từ,
0078.txt,坦盔穬塘春搽劫稚頑槎幸福|圭郷朔茂貼佳才妈担捊將來,Đất vui rộng đường xuân già khoẻ trẻ ngoan xây hạnh phúc|Quê hương mừng đời mới trai tài gái đảm dựng tương lai.,
0078.txt,迍春巡抉滌奸貪與凭紀綱除國難|糊節琠搓紵仁義尊高道理重家風.,Đón xuân sang quét sạch gian tham giữ vững kỷ cương trừ quốc nạn|Mừng tết đến xây bền nhân nghĩa tôn cao đạo lý trọng gia phong.,
0128.txt,跾車千古尺迻融空親戚祂兜廌哭曼|想事百年哃擬鉭動肝腸裓沛傷撝,Thấy xe thien co xịch đưa ra không thân thích nhẽ đâu ma khóc mướn|Tưởng sụ bach niên đừng nghĩ đến động can trưởng nên phải thương vay.,(Cao Bá Quát viêng dám ma một nhà khá giả không quen biêt)
0128.txt,福德祖先挍槞自課耀|仁心琨招培搭買術麵,Phúc đức tổ tiên gieo trồng từ thuở trước|Nhan tam con chau boi dap mai ve sau,(Nhà thờ họ Nguyễn Đình: Gia Hoà Nam Cường Nam Trực Nam Định)
0128.txt,古庵學場古庵|妈河内半行河内,Trai Cô Am hoc trudng Co Am|Gái Hà Nôi bán hàng Hà Nôi.,(Thay đồ ra cho hoc tro Văn Quế ở Hải Dương đối lị)
0128.txt,上下巃磊稔治譜|臻炉套鸌柳紅屯,Thượng Ha Gôi Trôi Nằm Tri Pho|Trăn Tro Sáo Vạc Liễu Hồng,(Bảy chợ ở Hà Tĩnh (trên)Nam Đàn Nghệ An)
0128.txt,勸善懲淫琨埃蟅躺哥曚糁|救人度世貼埃撝瘼沒填進,Khuyến thiên trưng dâm con ai để tháng tư mong tám|Cựu nhân độ thế của ai vay mất một đền mười.,(Một nhà sư khoe hay chử bi Hoàng Phan Thai người Nghi Lộc(Nghệ An viêt thêm phẩn đuôi để châm biêin)
0161.txt,風調雨順|國泰民安,Phong điểu vĩ thuận|Quôc thái dân an,(Gió hoa mưa thuậnNước thịnh dân vui.)
0161.txt,萬家騰笑語|四海慶新春,Van gia dang tiêu ngữ|Tú hải khánh tân xuân.,(Muôn nhà vui cười nói:Bốn biển chúc xuân vâ)
0161.txt,陽光凝大地|春色入人家,Dương quang ngưng đại địa|Xuân săc nhâp nhân gia.,(Ánh dương đầy khắp chốnXuân sac dsn tùng nhà.)
0161.txt,燕語千門曉|鶯聲萬戶春,Yên ngữ thiên môn hiêu|Oanh thanh van hô xuân.,(Yên hót nghin nhà sángOanh ca vạn hộ xuâr)
0161.txt,春風添畫意|歲月賦詩情,Xuân phong thiêm hoa y|Tuê nguyêt phú thi tinh.,(Gió xuân thêm ý hoạNăm tháng đọng tình thơ)
0161.txt,年豊人益壽|春早福盈門,Niên phong nhân ích thọ|Xuân tảo phúc doanh môn,(Năm vui người thêm thọXuân sớm phúc đày nhà)
0049.txt,太極元氣,Thái cực nguyên khí.|Nguyên khí thái cực.,
0049.txt,神又神,Thần hựu thần|Thần của thần.,
0049.txt,望之如雲,Vọng chi như vân.|Ngóng đấy như mây.,
0049.txt,聲振波海,Thanh chấn ba hải.|Tiếng dậy biển sóng.,
0049.txt,慈 仁 齋 深,Từ nhân trai khiết.|Nhân từ trinh khiết.,
0049.txt,騰雲駕雨,Đằng vân giá vũ.|Đạp mây cưỡi mưa.,
0049.txt,萬古江山,Vạn cổ giang sơn|non sông muôn thuở,
0049.txt,蓮座生香,Liên tọa sinh hương|Tòa sen sinh hương.,
0049.txt,方便門,Phương tiện môn|cửa phương tiện.,
0049.txt,神格思,Thần cách tư.|Nghi theo phong cách thẩn,
0049.txt,奉先思孝,Phung tiên tư hiếu|Phụng dưỡng trước nghĩ hiểu.,
0057.txt,奼紫嫣紅,Xá tử yên hồng|tía đẹp hồng tươi,(dán ở ký túc xá nữ)
0057.txt,萬紫千紅,vạn tử thiên hồng|Muôn tía ngàn hồng,
0057.txt,學海泛舟,Học hải phiếm chu|Thuyên bơi trong biển học,
0057.txt,萬眾一心,Vạn chúng nhất tâm|Muôn người một lòng,
0057.txt,萬眾如,Vạn chúng như nhất|Muôn người như một,
0057.txt,開原節流,Khai nguyên tiết lưu|Mở nguồn tiết kiệm nước chảy|Vị nhân sư biểu|Bậc thầy của người,
0057.txt,英雄輩,Anh hùng bối xuất|Anh hùng đời đời đều có,
0057.txt,潘平章祠,Phan bình chương từ|Nhà thờ quan Bình chương họ Phan,(Thờ cụ Phan Huy Chú Quốc Oai Hà Tây)
0057.txt,兩國尚書,Lưỡng quốc Thượng thư|Thượng thư hai nước,
0170.txt,山青水綠景色好|草茂花香牛羊肥,Sơn thanћ thủy lục canh sac hảo|Thao mau hoa hương ngưu đương phí.,(Non xanh nước biếc cảnh sắc đẹpCổ tốt hoa thơm bò dê nhiều.)
0170.txt,流輝增瑞彩紅橙黄綠映春色|奇葩貫星球青藍紫白放光華,Lưu huy tăng thuy thai hồng chan hoang luc anh xuân sặc|Ky ba quán tinh câu thanh lam tử bach phóng quang hoa,(Mâu- mè thêm sac dep hong chanh vàng luc säc xuân roiHoa la trùm tinh câu xanh lam tím tráng tỏa quang hoa)
0170.txt,兩廂錦繡藏百貨|店春風暖萬家,Lượng sương cam tu tang bach hóa|Nhât diêm xuân phong noãn van gia,(Hai hiên gâm vóc gôm bách hóaMot quán gió xuân ám muôn nhà)
0170.txt,雞唱鴨鳴爭春早|水笑山歡報喜,Kế xướng áp minh tranh xuân tảo|Thủy tiểu sơn hoan báo hỷ đa,(Gà gáy vit kêu xuân den sómSông cười núi gọi báo nhiều vui.)
0170.txt,鴨游春池層層波紋皆錦繡|人樂新年行行專業有文章,Ap du xuân tri tâng tâng ba văn giai câm tú|Nhân lạc tân niên hàng hang chuyên nghiệp hữu văn chương,(Vit bởi ao xuân lớp lớp sóng vởn như gấm vócNgười vui năm mới nghề nghề chuyên nghiệp có đường đi.)
0170.txt,花間酒气春風遠|村里棋聲夜雨寒,Hoa gian tựu khí xuân phong viên:|Thôn ly ky thanh da vũ hàn.,(Trong hoa hơi rượu theo xuân đếnĐầu xóm hội cờ tiếng mưa đêm)
0199.txt,雲移溪樹侵書幌|風送岩泉潤墨池,Vân đi khê thụ xâm thư hoang|Phong tông nham tuyên nhuân mac tri,(Mây đưa cây suối che man sáchGió cuốn dòng khe đến ao nghiên.)
0199.txt,放眼望乾坤身行萬里半天下|偷閑談風月我生百事常隨緣,Phóng nhän vong càn khôn thân hành van ly bán thien ha|Thâu nhân đàm phong nguyệt ngã sinh bach sư thường tùy duyên.,(Đưa mắt ngắm đất trời tấm thân muôn dặm nửa thiên hạ:Lực rồi bàn trắng gió đời người trăm việc vẫn tùy duyên.)
0199.txt,莫對青山談世事|休將文字占時名,Mặc đối thanh sơn đàm thế sự|Hưu tượng uần tư chiến thờ đanh,(Đừng truốc non xanh bàn thế sựChớ dem chü nghïa chiếm thii danh)
0199.txt,未必前賢皆可法|從來孺子尚堪欽,Vi tât tiên hiển giai khả pháp|Tòng lai nhu từ thượng kham khâm,(Dâu cú tien hien là khuôn phépNhiểu khi con trẻ dáng suy tôn)
0199.txt,皓日盈怀心不夜|春雲潤物雨含情,Hao nhât doanh hoài tâm bât da|Xuán van nhuan vât vi hàm tinh.,(Trang sang nd mang dem chang nguMây xuân đầm ấm mưa đượm tinh)
0153.txt,舉目看花花滿目|出門見喜喜盈門,Cử mục khan hoa hoa mãn mục:|Xuât môn kiên hy hy doanh môn.,(Ngước mặt nhím hoa hoa đẩy mặtRa nhà được hy hy đẩy nhà)
0153.txt,春到山鄉遍地喜|福臨農戶滿庭春,Xuân đảo sơn hương biển địa hy|Phúc lân nông hô mãn dinh xuân,(Xuân đến bản làng ndi nơi tốthuc VaO nong ho chon chon xulan)
